,val_loss,val_accuracy,activation,batch_size,dropout,embedding_matrix,first_neuron,lr,number_of_layers,reduce_dim,trainable,word_embeddings_architecture
71,0.47843,0.76585,tanh,32,0.5,word2vec,128,0.9500000000000001,2,False,False,gru
72,0.69298,0.5092,relu,64,0.8,fastText,8,0.5,4,True,False,gru
73,0.70345,0.4908,elu,16,0.8,word2vec,256,0.9500000000000001,3,True,False,gru
74,0.60363,0.67587,tanh,16,0.8,word2vec,16,0.65,2,True,False,dense
75,1.05536,0.8272,elu,16,False,suc,16,1.5500000000000003,1,True,True,gru
76,0.82297,0.84867,elu,16,0.5,word2vec,128,0.65,1,True,True,dense
77,1.23649,0.85123,tanh,32,0.8,word2vec,256,1.85,3,False,True,dense
78,0.69707,0.80573,selu,64,False,gloVe,256,0.5,1,True,True,dense
79,1.08568,0.80061,selu,16,False,fastText,128,1.85,2,True,False,gru
80,0.97463,0.81135,sigmoid,32,0.2,fastText,16,1.1,2,False,True,cnn
81,0.94688,0.8364,tanh,64,0.2,word2vec,128,1.7000000000000002,2,False,True,cnn
82,0.69298,0.5092,sigmoid,32,0.8,fastText,16,0.8,4,True,True,dense
83,0.67161,0.84049,tanh,64,0.5,fastText,8,0.5,2,True,True,dense
84,0.91076,0.83742,tanh,64,0.5,fastText,128,1.25,4,True,True,bilstm
85,0.64209,0.84458,tanh,64,0.8,fastText,128,1.1,1,False,True,dense
86,1.47117,0.75511,elu,64,False,suc,8,0.9500000000000001,3,False,False,cnn
87,0.40925,0.80982,elu,32,0.5,word2vec,48,1.25,1,False,False,bilstm
88,0.8145,0.74489,tanh,16,False,fastText,64,1.7000000000000002,3,False,False,cnn
89,0.57164,0.84663,selu,64,0.2,fastText,128,0.65,1,True,True,dense
90,0.63463,0.67536,tanh,32,0.8,fastText,8,1.85,3,True,False,dense
91,0.69618,0.4908,tanh,32,0.8,word2vec,256,0.9500000000000001,1,False,False,gru
92,0.63171,0.61759,sigmoid,64,0.8,suc,128,1.5500000000000003,1,True,False,gru
93,0.56573,0.83793,selu,16,0.5,suc,8,0.65,2,True,True,bilstm
94,1.06194,0.83333,elu,16,0.2,gloVe,16,0.8,4,False,True,bilstm
95,1.20536,0.85532,selu,16,0.5,fastText,16,1.25,2,False,True,dense
96,1.51487,0.82311,elu,16,0.2,word2vec,64,1.7000000000000002,2,True,True,gru
97,0.71529,0.83384,tanh,32,0.8,fastText,128,0.5,1,False,True,cnn
98,0.56878,0.77505,tanh,64,0.2,fastText,256,0.8,3,True,False,gru
99,0.78469,0.84049,selu,64,False,suc,256,1.25,1,False,True,dense
100,0.51289,0.83282,sigmoid,16,0.8,fastText,64,1.1,1,False,True,bilstm
101,0.46454,0.78425,sigmoid,64,0.5,fastText,64,1.85,2,True,False,gru
102,0.69306,0.5092,elu,32,0.8,gloVe,48,1.5500000000000003,4,True,True,bilstm
103,0.69295,0.5092,selu,64,0.8,suc,8,0.65,4,True,True,gru
104,0.60035,0.73722,elu,64,0.2,fastText,8,0.65,1,True,False,cnn
105,0.69298,0.5092,relu,64,0.8,word2vec,48,0.5,4,False,True,cnn
106,0.69306,0.5092,elu,64,0.8,suc,48,0.9500000000000001,4,True,True,gru
107,0.41065,0.81646,selu,32,0.5,fastText,16,1.7000000000000002,1,False,False,bilstm
108,0.77985,0.83589,sigmoid,32,0.5,word2vec,16,0.9500000000000001,1,False,True,gru
109,1.4585,0.7592,elu,32,False,suc,8,1.1,3,True,False,cnn
110,0.58601,0.69734,tanh,64,False,suc,8,0.5,2,False,False,dense
111,0.88611,0.81442,sigmoid,64,0.2,fastText,64,0.65,4,False,True,cnn
112,1.02587,0.81391,sigmoid,64,False,gloVe,128,1.85,1,False,False,bilstm
113,0.94795,0.82311,elu,32,0.5,gloVe,16,1.25,1,True,True,dense
114,1.31554,0.77454,elu,16,False,fastText,256,0.5,2,False,False,gru
115,1.25457,0.80521,elu,64,False,gloVe,256,1.4000000000000001,1,False,False,bilstm
116,0.61631,0.66973,tanh,64,0.5,word2vec,128,0.65,3,True,False,dense
117,0.73364,0.83384,selu,16,0.5,word2vec,64,0.5,4,False,True,bilstm
118,0.69299,0.5092,tanh,64,0.8,word2vec,48,0.8,4,True,True,bilstm
119,0.5104,0.84407,tanh,64,0.5,gloVe,64,0.8,3,True,True,gru
120,0.75841,0.7955,selu,64,False,word2vec,256,0.8,4,True,True,bilstm
121,1.24321,0.83691,selu,32,0.5,fastText,8,1.85,2,False,True,bilstm
122,1.11643,0.82362,selu,32,False,fastText,64,0.8,4,False,True,cnn
123,0.69304,0.5092,tanh,16,0.8,suc,8,0.8,4,False,True,cnn
124,0.7619,0.81646,sigmoid,64,0.2,word2vec,8,1.85,2,True,True,cnn
125,1.29915,0.82209,elu,16,0.2,suc,64,1.25,3,True,True,dense
126,0.93278,0.841,sigmoid,16,0.5,fastText,128,1.1,4,False,True,bilstm
127,0.60028,0.68712,tanh,64,0.2,word2vec,64,0.5,1,False,False,dense
128,0.39577,0.83487,tanh,64,0.5,suc,128,1.4000000000000001,4,True,False,bilstm
129,0.47211,0.78528,tanh,16,0.2,fastText,8,1.4000000000000001,2,True,False,gru
130,0.44045,0.82362,selu,64,0.5,gloVe,256,0.5,2,False,False,bilstm
131,0.52784,0.75153,selu,32,0.5,gloVe,16,0.65,3,True,False,cnn
132,0.94168,0.76738,relu,32,0.2,fastText,64,1.1,4,False,False,cnn
133,1.06492,0.83078,elu,32,0.2,gloVe,8,1.85,3,False,True,bilstm
134,0.62706,0.84765,elu,64,False,fastText,8,0.65,2,False,True,dense
135,0.69299,0.5092,sigmoid,64,0.8,word2vec,16,1.1,2,False,False,bilstm
136,0.44385,0.81748,elu,16,0.2,gloVe,16,0.9500000000000001,4,False,False,bilstm
137,0.9798,0.79652,relu,16,False,gloVe,16,1.5500000000000003,4,False,False,gru
138,0.6927,0.5092,elu,32,0.8,gloVe,64,0.9500000000000001,4,False,True,dense
139,0.58813,0.75767,sigmoid,16,0.2,fastText,16,1.25,4,False,False,cnn
140,0.71713,0.8502,elu,16,0.5,suc,48,0.8,3,True,True,bilstm
141,0.87378,0.82873,relu,32,0.8,fastText,256,1.85,2,True,True,bilstm
142,0.5096,0.76994,relu,32,False,fastText,8,0.8,3,False,False,bilstm
143,0.53615,0.7229,selu,16,0.8,fastText,256,0.65,1,False,False,bilstm
144,1.10989,0.8318,selu,64,False,gloVe,16,1.5500000000000003,2,True,True,bilstm
145,0.69298,0.5092,relu,16,0.8,word2vec,48,0.65,2,True,False,bilstm
146,0.43364,0.81135,sigmoid,32,0.5,gloVe,64,1.1,2,False,False,bilstm
147,1.19902,0.83231,selu,32,False,word2vec,64,1.1,2,False,True,gru
148,0.69298,0.5092,sigmoid,16,0.8,word2vec,256,0.8,4,False,True,cnn
149,0.42838,0.80624,selu,64,0.5,gloVe,48,0.65,3,False,False,bilstm
150,0.45458,0.84151,elu,64,0.8,suc,8,1.1,1,True,True,dense
151,0.41543,0.83742,relu,32,0.8,word2vec,8,0.65,1,True,True,dense
152,0.69607,0.4908,elu,16,0.8,word2vec,256,1.85,3,True,False,gru
153,0.54016,0.82106,tanh,64,0.8,gloVe,64,1.7000000000000002,2,False,True,cnn
154,1.45351,0.83436,relu,64,0.2,word2vec,16,1.4000000000000001,2,False,True,gru
155,0.92709,0.83384,elu,64,0.5,word2vec,16,0.65,1,True,True,cnn
156,0.74181,0.83333,sigmoid,32,0.5,fastText,64,1.25,3,True,True,gru
157,0.799,0.79703,sigmoid,32,False,gloVe,256,0.65,2,True,False,cnn
158,1.10089,0.82362,elu,64,False,word2vec,16,0.8,3,False,True,gru
159,0.58755,0.67689,sigmoid,16,0.5,word2vec,48,1.7000000000000002,2,False,False,dense
160,1.26605,0.77812,relu,32,False,fastText,48,1.85,2,True,False,gru
161,1.18398,0.80266,tanh,32,False,suc,48,1.85,1,True,False,bilstm
162,0.9938,0.76789,elu,16,False,suc,128,1.4000000000000001,3,False,False,cnn
163,0.36477,0.83487,elu,16,0.8,suc,48,0.8,1,False,True,gru
164,0.46573,0.78783,relu,16,0.5,fastText,128,0.8,1,False,False,bilstm
165,0.69298,0.5092,relu,16,0.8,suc,64,0.5,3,True,True,dense
166,0.72474,0.78885,tanh,16,False,gloVe,256,1.4000000000000001,4,True,False,gru
167,1.06354,0.75665,tanh,16,False,gloVe,48,0.65,4,True,False,cnn
168,0.69651,0.50153,relu,64,0.8,gloVe,256,1.4000000000000001,1,True,False,gru
169,0.44531,0.8001,sigmoid,32,0.2,fastText,8,1.5500000000000003,4,True,False,bilstm
170,0.52282,0.82362,selu,64,0.2,suc,128,0.8,3,True,False,bilstm
171,0.61379,0.80828,relu,16,0.2,gloVe,48,1.1,1,True,False,bilstm
172,1.20015,0.84611,relu,32,0.2,gloVe,64,1.7000000000000002,2,True,True,gru
173,0.69298,0.5092,relu,32,0.8,suc,48,1.5500000000000003,4,True,False,cnn
174,0.60222,0.68252,relu,32,False,gloVe,48,1.25,2,True,False,dense
175,0.59232,0.71677,relu,16,0.2,gloVe,256,1.25,1,False,False,dense
176,0.47272,0.7684,relu,16,0.5,suc,8,1.85,3,False,False,cnn
177,0.56839,0.71472,elu,16,0.2,suc,16,0.5,4,True,False,dense
178,0.9993,0.75818,relu,16,0.2,word2vec,128,1.4000000000000001,2,False,False,cnn
179,0.73451,0.7684,tanh,16,0.2,word2vec,256,0.8,4,True,False,cnn
180,0.65834,0.77812,sigmoid,32,0.2,word2vec,128,1.85,1,False,False,gru
181,1.25557,0.83691,relu,64,False,gloVe,256,0.9500000000000001,3,False,True,gru
182,0.69294,0.5092,elu,32,0.8,gloVe,8,1.25,4,False,False,dense
183,0.46721,0.80982,relu,64,0.5,gloVe,256,1.1,1,False,False,gru
184,2.21357,0.82924,elu,16,0.5,fastText,64,1.7000000000000002,4,True,True,cnn
185,0.85884,0.82669,sigmoid,16,False,gloVe,16,0.5,2,False,True,cnn
186,0.76012,0.50665,tanh,64,0.8,gloVe,256,0.5,2,True,False,bilstm
187,0.59985,0.65798,selu,64,0.8,fastText,128,1.85,2,False,False,bilstm
188,0.9678,0.78067,relu,16,False,fastText,64,0.65,3,False,False,gru
189,0.61142,0.6682,tanh,16,0.5,word2vec,16,1.5500000000000003,1,True,False,dense
190,1.43024,0.82771,selu,32,False,fastText,256,1.5500000000000003,3,False,True,dense
191,1.07116,0.84202,relu,16,0.5,suc,128,1.5500000000000003,1,False,True,bilstm
192,0.52662,0.75562,elu,32,0.5,fastText,256,0.65,2,False,False,gru
193,0.98801,0.83231,sigmoid,32,False,suc,128,0.5,2,False,True,bilstm
194,0.66226,0.62423,relu,64,0.5,word2vec,48,0.5,4,True,False,dense
195,0.49756,0.76636,relu,16,0.5,word2vec,256,1.1,1,False,False,gru
196,0.60735,0.65082,relu,16,False,word2vec,8,1.7000000000000002,3,False,False,dense
197,0.82924,0.82669,sigmoid,64,0.8,word2vec,256,1.85,2,False,True,cnn
198,0.45136,0.79346,selu,32,0.5,fastText,8,0.5,1,True,False,bilstm
