,val_loss,val_accuracy,activation,batch_size,dropout,embedding_matrix,first_neuron,lr,number_of_layers,reduce_dim,trainable,word_embeddings_architecture
65,0.61154,0.85988,tanh,16,False,suc,48,1.5500000000000003,4,False,False,bilstm
136,0.53473,0.85685,elu,16,0.2,gloVe,16,0.9500000000000001,4,False,False,bilstm
183,0.38624,0.85585,relu,64,0.5,gloVe,256,1.1,1,False,False,gru
21,0.41165,0.85585,tanh,32,0.2,word2vec,64,1.4000000000000001,1,True,False,bilstm
86,0.73288,0.85282,elu,64,False,suc,8,0.9500000000000001,3,False,False,cnn
28,0.45898,0.85181,tanh,16,0.2,word2vec,64,1.25,4,True,False,bilstm
169,0.38982,0.85181,sigmoid,32,0.2,fastText,8,1.5500000000000003,4,True,False,bilstm
24,0.41085,0.85181,elu,32,0.5,suc,48,1.5500000000000003,2,True,False,cnn
124,0.55193,0.84879,sigmoid,64,0.2,word2vec,8,1.85,2,True,True,cnn
180,0.57572,0.84778,sigmoid,32,0.2,word2vec,128,1.85,1,False,False,gru
12,0.55349,0.84677,sigmoid,64,0.2,fastText,8,1.7000000000000002,3,True,True,cnn
52,0.3829,0.84677,tanh,64,0.5,suc,16,1.7000000000000002,3,True,False,cnn
166,0.80048,0.84577,tanh,16,False,gloVe,256,1.4000000000000001,4,True,False,gru
129,0.3749,0.84375,tanh,16,0.2,fastText,8,1.4000000000000001,2,True,False,gru
38,0.64219,0.84375,sigmoid,64,0.2,gloVe,256,1.5500000000000003,3,False,False,gru
157,0.61471,0.84274,sigmoid,32,False,gloVe,256,0.65,2,True,False,cnn
198,0.35331,0.84274,selu,32,0.5,fastText,8,0.5,1,True,False,bilstm
112,0.8401,0.84274,sigmoid,64,False,gloVe,128,1.85,1,False,False,bilstm
17,0.37759,0.84274,relu,16,0.5,word2vec,128,1.25,2,False,False,gru
107,0.37723,0.84274,selu,32,0.5,fastText,16,1.7000000000000002,1,False,False,bilstm
179,0.62329,0.84173,tanh,16,0.2,word2vec,256,0.8,4,True,False,cnn
16,0.42606,0.84073,selu,32,0.2,word2vec,128,0.65,4,True,False,bilstm
115,1.04884,0.84073,elu,64,False,gloVe,256,1.4000000000000001,1,False,False,bilstm
160,0.88585,0.83871,relu,32,False,fastText,48,1.85,2,True,False,gru
164,0.39306,0.83871,relu,16,0.5,fastText,128,0.8,1,False,False,bilstm
176,0.34682,0.83871,relu,16,0.5,suc,8,1.85,3,False,False,cnn
188,0.89237,0.83669,relu,16,False,fastText,64,0.65,3,False,False,gru
20,0.40573,0.83569,relu,64,0.5,suc,16,1.1,4,False,False,cnn
25,0.50671,0.83468,elu,16,0.2,word2vec,48,1.25,4,True,False,bilstm
79,1.09304,0.83367,selu,16,False,fastText,128,1.85,2,True,False,gru
178,0.77504,0.83266,relu,16,0.2,word2vec,128,1.4000000000000001,2,False,False,cnn
142,0.42363,0.83165,relu,32,False,fastText,8,0.8,3,False,False,bilstm
59,0.50147,0.82863,tanh,32,0.5,word2vec,128,0.65,2,True,False,cnn
11,0.36398,0.82762,elu,64,0.5,word2vec,8,1.85,1,False,False,gru
195,0.44457,0.82661,relu,16,0.5,word2vec,256,1.1,1,False,False,gru
109,0.9141,0.82661,elu,32,False,suc,8,1.1,3,True,False,cnn
71,0.41465,0.82359,tanh,32,0.5,word2vec,128,0.9500000000000001,2,False,False,gru
192,0.43705,0.82258,elu,32,0.5,fastText,256,0.65,2,False,False,gru
114,1.04222,0.81653,elu,16,False,fastText,256,0.5,2,False,False,gru
18,0.42086,0.81149,selu,16,0.8,gloVe,128,0.8,2,False,False,cnn
101,0.42026,0.81149,sigmoid,64,0.5,fastText,64,1.85,2,True,False,gru
167,0.85339,0.81149,tanh,16,False,gloVe,48,0.65,4,True,False,cnn
131,0.44282,0.80847,selu,32,0.5,gloVe,16,0.65,3,True,False,cnn
13,0.65095,0.80847,sigmoid,32,0.2,fastText,128,0.65,4,False,False,cnn
46,0.47573,0.80746,sigmoid,16,0.8,gloVe,256,1.7000000000000002,1,False,False,cnn
139,0.57632,0.80242,sigmoid,16,0.2,fastText,16,1.25,4,False,False,cnn
61,0.64202,0.80242,tanh,32,False,word2vec,16,0.9500000000000001,4,False,False,gru
68,1.03416,0.8004,tanh,16,False,fastText,64,1.4000000000000001,2,False,False,cnn
98,0.52903,0.79839,tanh,64,0.2,fastText,256,0.8,3,True,False,gru
5,0.82617,0.79738,tanh,16,False,gloVe,64,1.25,3,True,False,cnn
104,0.51112,0.79536,elu,64,0.2,fastText,8,0.65,1,True,False,cnn
32,0.42321,0.79234,sigmoid,32,0.5,word2vec,16,1.1,4,True,False,gru
6,0.57992,0.78629,elu,64,0.2,fastText,8,1.7000000000000002,4,True,False,cnn
88,1.08322,0.78427,tanh,16,False,fastText,64,1.7000000000000002,3,False,False,cnn
132,0.85649,0.78427,relu,32,0.2,fastText,64,1.1,4,False,False,cnn
175,0.51483,0.77823,relu,16,0.2,gloVe,256,1.25,1,False,False,dense
110,0.46978,0.77722,tanh,64,False,suc,8,0.5,2,False,False,dense
177,0.49122,0.76815,elu,16,0.2,suc,16,0.5,4,True,False,dense
58,1.1391,0.76512,sigmoid,16,False,word2vec,64,1.85,2,True,False,cnn
55,0.49347,0.75706,tanh,64,0.8,fastText,16,1.5500000000000003,1,True,False,cnn
