round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,embedding_matrix,epochs,first_neuron,lr,optimizer,reduce_dim,trainable,word_embeddings_architecture
15,0.3567173182964325,0.9470000267028809,0.6585730314254761,0.717717707157135,relu,16,0.2,{'key': 'fastText', 'weights': array([[ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00, ...,
         0.00000000e+00,  0.00000000e+00,  0.00000000e+00],
       [ 5.46999983e-02,  1.11999996e-02,  1.91000000e-01, ...,
         6.59999996e-03, -2.09999993e-03, -2.30000000e-02],
       [ 3.73000018e-02, -5.10000018e-03,  1.35000005e-01, ...,
        -3.31000015e-02, -1.09999999e-02, -9.99999975e-05],
       ...,
       [ 1.82000007e-02,  1.20999999e-02,  1.97000001e-02, ...,
        -3.68999988e-02,  6.30000001e-03, -4.69999984e-02],
       [ 2.53999997e-02,  9.70000029e-03,  3.62000018e-02, ...,
        -7.41000026e-02, -2.37000007e-02, -2.31999997e-02],
       [ 2.60000001e-03, -4.36999984e-02,  1.79999992e-02, ...,
         4.82000001e-02, -1.90000003e-03,  4.56999987e-02]])},1000,12,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True,True,cnn
10,0.15836699306964874,0.9459999799728394,0.7297953367233276,0.7237237095832825,relu,16,0.2,{'key': 'fastText', 'weights': array([[ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00, ...,
         0.00000000e+00,  0.00000000e+00,  0.00000000e+00],
       [ 5.46999983e-02,  1.11999996e-02,  1.91000000e-01, ...,
         6.59999996e-03, -2.09999993e-03, -2.30000000e-02],
       [ 3.73000018e-02, -5.10000018e-03,  1.35000005e-01, ...,
        -3.31000015e-02, -1.09999999e-02, -9.99999975e-05],
       ...,
       [ 1.82000007e-02,  1.20999999e-02,  1.97000001e-02, ...,
        -3.68999988e-02,  6.30000001e-03, -4.69999984e-02],
       [ 2.53999997e-02,  9.70000029e-03,  3.62000018e-02, ...,
        -7.41000026e-02, -2.37000007e-02, -2.31999997e-02],
       [ 2.60000001e-03, -4.36999984e-02,  1.79999992e-02, ...,
         4.82000001e-02, -1.90000003e-03,  4.56999987e-02]])},1000,12,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True,True,bilstm
11,0.11593347042798996,0.9670000076293945,0.703826904296875,0.7267267107963562,relu,16,0.2,{'key': 'fastText', 'weights': array([[ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00, ...,
         0.00000000e+00,  0.00000000e+00,  0.00000000e+00],
       [ 5.46999983e-02,  1.11999996e-02,  1.91000000e-01, ...,
         6.59999996e-03, -2.09999993e-03, -2.30000000e-02],
       [ 3.73000018e-02, -5.10000018e-03,  1.35000005e-01, ...,
        -3.31000015e-02, -1.09999999e-02, -9.99999975e-05],
       ...,
       [ 1.82000007e-02,  1.20999999e-02,  1.97000001e-02, ...,
        -3.68999988e-02,  6.30000001e-03, -4.69999984e-02],
       [ 2.53999997e-02,  9.70000029e-03,  3.62000018e-02, ...,
        -7.41000026e-02, -2.37000007e-02, -2.31999997e-02],
       [ 2.60000001e-03, -4.36999984e-02,  1.79999992e-02, ...,
         4.82000001e-02, -1.90000003e-03,  4.56999987e-02]])},1000,12,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True,True,gru
22,0.6850550174713135,0.5246800184249878,0.6903318762779236,0.5212913155555725,relu,16,0.2,{'key': 'fastText', 'weights': array([[ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00, ...,
         0.00000000e+00,  0.00000000e+00,  0.00000000e+00],
       [ 5.46999983e-02,  1.11999996e-02,  1.91000000e-01, ...,
         6.59999996e-03, -2.09999993e-03, -2.30000000e-02],
       [ 3.73000018e-02, -5.10000018e-03,  1.35000005e-01, ...,
        -3.31000015e-02, -1.09999999e-02, -9.99999975e-05],
       ...,
       [ 1.82000007e-02,  1.20999999e-02,  1.97000001e-02, ...,
        -3.68999988e-02,  6.30000001e-03, -4.69999984e-02],
       [ 2.53999997e-02,  9.70000029e-03,  3.62000018e-02, ...,
        -7.41000026e-02, -2.37000007e-02, -2.31999997e-02],
